,id,fullName,shortName,city,country,longitude,latitude
33,444,Greenfield Stadium,Greenfield Stadium,Thiruvananthapuram,India,,
34,445,Three Ws Oval,Three Ws Oval,Cave Hill,Barbados,,
35,446,Queen's Park,Queen's Park,Invercargill,New Zealand,,
37,448,Richardson Park,Richardson Park,Perth,Australia,,
38,449,Punjab Cricket Association Stadium,Punjab Cricket Association Stadium,"Mohali, Chandigarh",India,,
40,451,Gliderol Stadium,Gliderol Stadium,Adelaide,Australia,,
43,454,North Dalton Park,North Dalton Park,Wollongong,Australia,,
44,455,Ibbies Oval,Ibbies Oval,Potchefstroom,South Africa,,
45,456,North West University Oval,North West University Oval,Potchefstroom,South Africa,,
47,458,Perth Stadium,Perth Stadium,Perth,Australia,,
54,465,Old Hararians Sports Club,Old Hararians Sports Club,Harare,Zimbabwe,,
55,466,Kwekwe Sports Club,Kwekwe Sports Club,Kwekwe,Zimbabwe,,
56,467,Bulawayo Athletic Club,Bulawayo Athletic Club,Bulawayo,Zimbabwe,,
57,468,Vadodara International Cricket Stadium,Vadodara International Cricket Stadium,Vadodara,India,,
60,471,Vidarbha Cricket Association Ground,Vidarbha Cricket Association Ground,Nagpur,India,,
61,472,Harare South Country Club,Harare South Country Club,Harare,Zimbabwe,,
65,476,Sulaibiya Cricket Ground,Sulaibiya Cricket Ground,Sulaibiya,Kuwait,,
66,477,Entertainment City Ground,Entertainment City Ground,Doha,Kuwait,,
67,478,Bready,Bready,Derry,Northern Ireland,,
68,479,Tafawa Balewa Square Cricket Oval,Tafawa Balewa Square Cricket Oval,Lagos,Nigeria,,
69,480,UKM Cricket Oval,UKM Cricket Oval,Bandar Kinrara,Malaysia,,
70,481,Brockington Ground,Brockington Ground,Loughborough,England,,
72,483,Albert Park 1,Albert Park 1,Suva,Fiji,,
73,484,Albert Park 2,Albert Park 2,Suva,Fiji,,
75,486,Rajiv Gandhi International Cricket Stadium,Rajiv Gandhi International Cricket Stadium,Dehradun,India,,
76,487,Kampong Cricket Club,Kampong Cricket Club,Utrecht,Netherlands,,
79,490,Gahanga Stadium,Gahanga Stadium,Rwanda,Rwanda,,
80,491,Barnards Green,Barnards Green,Worcester,England,,
81,492,Chester Road North Ground,Chester Road North Ground,Kidderminster,England,,
82,493,Old Elizabethans Cricket Club,Old Elizabethans Cricket Club,Worcester,England,,
84,495,Bankstown Oval,Bankstown Oval,Sydney,Australia,,
86,497,Salland CC,Salland CC,Deventer,Netherlands,,
87,498,Salland 2,Salland 2,Deventer,Netherlands,,
89,500,Excelsior '20,Excelsior '20,Rotterdam,Netherlands,,
90,501,Bishop Stortford CC,Bishop Stortford CC,Bishop Stortford,England,,
91,502,Broxbourne CC,Broxbourne CC,Broxbourne,England,,
92,503,Harlow CC,Harlow CC,Harlow,England,,
93,504,Harlow Town CC,Harlow Town CC,Harlow,England,,
94,505,Bishop Stortford College,Bishop Stortford College,Bishop Stortford,England,,
95,506,St Margaretsbury CC,St Margaretsbury CC,St Margaretsbury,England,,
96,507,Loughton CC,Loughton CC,Loughton,England,,
97,508,Saffron Walden CC,Saffron Walden CC,Saffron Walden,England,,
98,509,Felsted School,Felsted School,Felsted,England,,
3,514,JB Marks Oval 1,JB Marks Oval 1,Potchefstroom,South Africa,,
4,515,JB Marks Oval 2,JB Marks Oval 2,Potchefstroom,South Africa,,
5,516,JB Marks Oval 3,JB Marks Oval 3,Potchefstroom,South Africa,,
7,518,Coggeshall CC,Coggeshall CC,Colchester,England,,
8,519,Raleigh Cricket Club,Raleigh Cricket Club,Morrisville,United States of America,,
14,525,Manly Oval,Manly Oval,Manly,Australia,,
18,529,Free Trade Zone Sports Complex,Free Trade Zone Sports Complex,Katunayake,Sri Lanka,,
19,530,Katunayake MCG,Katunayake MCG,Katunayake,Sri Lanka,,
27,538,TBD,Mysore,Mysore,India,,
48,560,NPR College Ground,NPR College Ground,Dindigul,India,,
20,632,VCA Stadium,VCA Stadium,Nagpur,India,,
23,635,St. Stephen's Ground,St. Stephen's Ground,New Delhi,India,,
